,day_id,day,day_count
0,823,Aug 23,402
1,824,Aug 24,407
2,825,Aug 25,401
3,826,Aug 26,417
4,827,Aug 27,46065
5,828,Aug 28,135286
6,829,Aug 29,58294
7,830,Aug 30,87910
8,831,Aug 31,386
9,901,Sep 01,393
10,902,Sep 02,382
11,903,Sep 03,55626
12,904,Sep 04,95910
13,905,Sep 05,243435
14,906,Sep 06,136613
15,907,Sep 07,190712
16,908,Sep 08,50337
17,909,Sep 09,151053
18,910,Sep 10,178832
19,911,Sep 11,213006
20,912,Sep 12,169195
21,913,Sep 13,142378
22,914,Sep 14,149364
23,915,Sep 15,121411
24,916,Sep 16,111458
25,917,Sep 17,98971
26,918,Sep 18,75925
27,919,Sep 19,85317
28,920,Sep 20,88077
29,921,Sep 21,83838
30,922,Sep 22,81852
31,923,Sep 23,79281
32,924,Sep 24,88985
33,925,Sep 25,64834
34,926,Sep 26,14203
35,927,Sep 27,38908
36,928,Sep 28,60710
37,929,Sep 29,393
38,930,Sep 30,35261
39,1001,Oct 01,73998
40,1002,Oct 02,71549
41,1003,Oct 03,70995
42,1004,Oct 04,71583
43,1005,Oct 05,72177
44,1006,Oct 06,65279
45,1007,Oct 07,71731
46,1008,Oct 08,71966
47,1011,Oct 11,29683
48,1012,Oct 12,63878
49,1013,Oct 13,82205
50,1014,Oct 14,81894
51,1015,Oct 15,69240
